,size,avg_insert,max_insert,avg_find,max_find,collision_rate,time
420,42100.0,1.6026603325415676,30.0,1.6026603325415676,30.0,0.14309976247030878,0.27164673805236816
421,42200.0,1.616919431279621,22.0,1.616919431279621,22.0,0.1441469194312796,0.27864980697631836
422,42300.0,1.8233806146572105,34.0,1.8233806146572105,34.0,0.16910165484633569,0.2799797058105469
423,42400.0,1.6582075471698112,43.0,1.6582075471698112,43.0,0.14689858490566038,0.2811427116394043
424,42500.0,1.7490588235294118,48.0,1.7490588235294118,48.0,0.14750588235294118,0.27714967727661133
425,42600.0,1.6236384976525822,32.0,1.6236384976525822,32.0,0.14609154929577464,0.2802696228027344
426,42700.0,1.613559718969555,27.0,1.613559718969555,27.0,0.1468735362997658,0.3032267093658447
427,42800.0,1.6292757009345795,45.0,1.6292757009345795,45.0,0.1460981308411215,0.28394222259521484
428,42900.0,1.6324242424242423,25.0,1.6324242424242423,25.0,0.14768065268065267,0.2897787094116211
429,43000.0,1.6772325581395349,26.0,1.6772325581395349,26.0,0.14832558139534885,0.28315258026123047
430,43100.0,1.5785150812064965,25.0,1.5785150812064965,25.0,0.14136890951276102,0.2806401252746582
431,43200.0,2.2953935185185186,67.0,2.2953935185185186,67.0,0.17677083333333332,0.2991762161254883
432,43300.0,1.5985912240184756,24.0,1.5985912240184756,24.0,0.14284064665127022,0.28064584732055664
433,43400.0,1.6544009216589861,33.0,1.6544009216589861,33.0,0.1505184331797235,0.28215456008911133
434,43500.0,1.626183908045977,31.0,1.626183908045977,31.0,0.14667816091954022,0.28306078910827637
435,43600.0,1.6272477064220183,24.0,1.6272477064220183,24.0,0.1467545871559633,0.2855384349822998
436,43700.0,1.6119908466819222,23.0,1.6119908466819222,23.0,0.14601830663615561,0.2848036289215088
437,43800.0,1.6436529680365297,33.0,1.6436529680365297,33.0,0.1467351598173516,0.29515576362609863
438,43900.0,1.5925284738041001,30.0,1.5925284738041001,30.0,0.14151480637813213,0.28514814376831055
439,44000.0,1.7440227272727273,39.0,1.7440227272727273,39.0,0.15551136363636364,0.29033637046813965
440,44100.0,2.319160997732426,78.0,2.319160997732426,78.0,0.18412698412698414,0.2916698455810547
441,44200.0,1.6226696832579186,31.0,1.6226696832579186,31.0,0.14607466063348415,0.2936699390411377
442,44300.0,1.5897968397291196,32.0,1.5897968397291196,32.0,0.1424943566591422,0.2887754440307617
443,44400.0,1.6794594594594594,40.0,1.6794594594594594,40.0,0.1490653153153153,0.29137444496154785
444,44500.0,1.6083595505617978,26.0,1.6083595505617978,26.0,0.1430112359550562,0.28865551948547363
445,44600.0,1.6219955156950672,31.0,1.6219955156950672,31.0,0.14400224215246638,0.29866719245910645
446,44700.0,1.6162863534675616,27.0,1.6162863534675616,27.0,0.1452125279642058,0.2982337474822998
447,44800.0,1.7468080357142857,40.0,1.7468080357142857,40.0,0.15675223214285713,0.2916450500488281
448,44900.0,1.5887973273942093,28.0,1.5887973273942093,28.0,0.14148106904231625,0.3049743175506592
449,45000.0,2.3535333333333335,66.0,2.3535333333333335,66.0,0.17886666666666667,0.2947995662689209
450,45100.0,1.6077383592017738,26.0,1.6077383592017738,26.0,0.14481152993348115,0.2921903133392334
451,45200.0,1.6417477876106195,24.0,1.6417477876106195,24.0,0.14863938053097345,0.2926676273345947
